Ant-Man (Eric OGrady)	#40100,#c8a620
Yellow Claw	#25101a,#26110e
Vivisector	#25101a,#26110e
War (Abraham Kieros)	#25101a,#26110e
X-51	#9c8f80,#f3e5ce
Wraith	#25101a,#26110e
Zzzax	#f5ee4b,#f8f5d1
Wiccan	#c4e0f3,#78b1d0
Wolverine	#170502,#39b1b9
Werewolf By Night	#80604,#695d53
Wolverine (LEGO Marvel Super Heroes)	#d19a66,#f8e1bb
Wrecker	#25101a,#26110e
Wendell Vaughn	#faf8e2,#1c3626
White Queen (Adrienne Frost)	#25101a,#26110e
Yellowjacket (Rita DeMara)	#396d96,#70503
Zarda	#25101a,#26110e
X-Statix	#99523a,#aa9076
Warlock (Technarchy)	#171308,#d1420
X-Force	#a33c2c,#902616
War Machine (Parnell Jacobs)	#221d1f,#5e6b6f
Zombie (Simon Garth)	#466770,#8f8f86
Xavin	#c6a06a,#7d633a
Wolfsbane	#cfd1e6,#a7afc7
War Machine (Ultimate)	#251b18,#33282d
X-Men (Ultimate)	#b1a899,#e5ddc5
X-Factor	#120803,#cb9b71
Wilson Fisk	#25101a,#26110e
X-Men	#9b9590,#f0a08
Wolfpack	#25101a,#26110e
Zarek	#3a729f,#a0e1f
Wolf Cub	#25101a,#26110e
White Tiger (Angela Del Toro)	#25101a,#26110e
Warbird	#25101a,#26110e
War Machine (Iron Man 3 - The Official Game)	#2e2427,#70583d
Warstar	#1c2e28,#c1c1fd
Warpath	#c76a19,#dd8b42
Weapon X	#25101a,#26110e
X-23	#e0d13,#482d5d
Wrecking Crew	#924231,#51665a
War Machine (Marvel: Avengers Alliance)	#e1419,#454545
Zuras	#25101a,#26110e
X-Cutioner	#25101a,#26110e
Wither	#20101,#998881
Whistler	#25101a,#26110e
Weapon Omega	#ce966b,#2f220c
Zaladane	#25101a,#26110e
Whirlwind	#9e9879,#776f50
Wild Pack	#fbf8f3,#301307
Wolverine (X-Men: Battle of the Atom)	#140806,#15181c
Wasp	#4fc3cb,#39b2bb
Wild Child (Age of Apocalypse)	#8f5233,#ce9557
Wolfsbane (Age of Apocalypse)	#30719d,#ca9076
Wong (Ultimate)	#25101a,#26110e
Warbound	#52c1ca,#3ab1ba
Vulture (Adrian Toomes)	#716350,#b59c7f
Viper	#25101a,#26110e
White Tiger (USM)	#ede9e2,#a9a89e
Virginia Dare	#25101a,#26110e
Vulcan (Gabriel Summers)	#2e6e9a,#ce9262
Zeigeist	#25101a,#26110e
X.S.E.	#25101a,#26110e
Zodiak	#25101a,#26110e
Wong	#d9a268,#151307
Wind Dancer	#b09a84,#d9cdd3
William Stryker	#fcfcfa,#8b837f
Whiplash (Mark Scarlotti)	#25101a,#26110e
X-Ray (James Darnell)	#ee495b,#855d36
Vision	#4b2b59,#f7f12a
Wallflower	#25101a,#26110e
Wolverine (Marvel War of Heroes)	#a5acac,#201e15
Vulture (Blackie Drago)	#b7e3f8,#fbe7d4
Whizzer (Stanley Stewart)	#25101a,#26110e
Wolver-dok	#25101a,#26110e
Young Avengers	#61032,#a09a93
Warren Worthington III	#25101a,#26110e
Wildside	#25101a,#26110e
X-Man	#c9a51b,#d19f54
Zaran	#25101a,#26110e
